model,split,season,metric,value
lstm,test,dry,mape_masked,15.86349825137898
lstm,test,dry,mae_unmasked,28.3622720713511
lstm,test,dry,rmse_unmasked,53.11212852714063
lstm,test,dry,n_hours_masked,1748.0
lstm,test,dry,n_hours_total,3623.0
lstm,test,dry,n_forecast_days,364.0
lstm,test,dry,skill_score_masked,0.20059922935766394
lstm,test,dry,skill_score_unmasked,0.1909564989431698
lstm,test,all,mae_masked_hour_06,25.325696185578114
lstm,test,all,rmse_masked_hour_06,30.954179360999223
lstm,test,all,mae_masked_hour_07,31.19883437526215
lstm,test,all,rmse_masked_hour_07,40.361942887909606
lstm,test,all,mae_masked_hour_08,52.164008974144956
lstm,test,all,rmse_masked_hour_08,69.93946027643908
lstm,test,all,mae_masked_hour_09,65.34048548485455
lstm,test,all,rmse_masked_hour_09,89.91971306137117
lstm,test,all,mae_masked_hour_10,80.64226380266109
lstm,test,all,rmse_masked_hour_10,105.68913521614652
lstm,test,all,mae_masked_hour_11,85.3790971812248
lstm,test,all,rmse_masked_hour_11,117.61453960700649
lstm,test,all,mae_masked_hour_12,95.15760648676347
lstm,test,all,rmse_masked_hour_12,128.27633545310545
lstm,test,all,mae_masked_hour_13,93.23329526340416
lstm,test,all,rmse_masked_hour_13,123.46827271657952
lstm,test,all,mae_masked_hour_14,85.62851450261915
lstm,test,all,rmse_masked_hour_14,113.36200457340286
lstm,test,all,mae_masked_hour_15,68.35698388213484
lstm,test,all,rmse_masked_hour_15,89.05845865840733
lstm,test,all,mae_masked_hour_16,39.008922373387776
lstm,test,all,rmse_masked_hour_16,50.528240723252516
lstm,test,all,mae_masked_hour_17,16.777280385815672
lstm,test,all,rmse_masked_hour_17,20.981853906188512
lstm,test,all,mae_masked_month_01,35.413184476783606
lstm,test,all,rmse_masked_month_01,49.297878102837814
lstm,test,all,mae_masked_month_02,38.389704653081864
lstm,test,all,rmse_masked_month_02,47.840977409878796
lstm,test,all,mae_masked_month_03,52.94812210981811
lstm,test,all,rmse_masked_month_03,65.9674795359574
lstm,test,all,mae_masked_month_04,59.8131291687867
lstm,test,all,rmse_masked_month_04,82.20626506298848
lstm,test,all,mae_masked_month_05,68.31274530825736
lstm,test,all,rmse_masked_month_05,108.97975544894248
lstm,test,all,mae_masked_month_06,81.1936473620746
lstm,test,all,rmse_masked_month_06,115.45000752693088
lstm,test,all,mae_masked_month_07,83.74239773923472
lstm,test,all,rmse_masked_month_07,118.2116583621357
lstm,test,all,mae_masked_month_08,65.9260446760948
lstm,test,all,rmse_masked_month_08,95.62252429908636
lstm,test,all,mae_masked_month_09,73.27749441360199
lstm,test,all,rmse_masked_month_09,93.8800867321461
lstm,test,all,mae_masked_month_10,70.79605549045898
lstm,test,all,rmse_masked_month_10,94.66810831257406
lstm,test,all,mae_masked_month_11,71.27318824772483
lstm,test,all,rmse_masked_month_11,105.94235669835746
lstm,test,all,mae_masked_month_12,46.350857283851234
lstm,test,all,rmse_masked_month_12,65.45089446420896
